text,opinion,source,target,expression,polarity
Президент Башкирии Муртаза Рахимов в очередной раз решил поменять главу своей администрации.,"{'Source': [['Муртаза Рахимов'], ['19:34']], 'Target': [['главу своей администрации'], ['66:91']], 'Polar_expression': [['поменять'], ['57:65']], 'Polarity': 'NEG'}",Муртаза Рахимов,главу своей администрации,поменять,NEG
"Вчера он уволил Азамата Сагитова, который возглавил башкирскую администрацию год назад после вынужденной отставки Радия Хабирова, сейчас занимающего пост заместителя начальника управления президента РФ по внутренней политике.","{'Source': [['NULL'], ['0:0']], 'Target': [['Азамата Сагитова'], ['16:32']], 'Polar_expression': [['уволил'], ['9:15']], 'Polarity': 'NEG'}",NULL,Азамата Сагитова,уволил,NEG
"Преемник господина Сагитова, которого перевели на работу в мэрию Уфы, пока не назначен.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Как сообщил ""Ъ"" глава пресс-службы башкирского президента Айрат Мурзагалиев, вчера Муртаза Рахимов подписал указ об отставке главы своей администрации.","{'Source': [['Муртаза Рахимов'], ['83:98']], 'Target': [['главы своей администрации'], ['125:150']], 'Polar_expression': [['отставке'], ['116:124']], 'Polarity': 'NEG'}",Муртаза Рахимов,главы своей администрации,отставке,NEG
"42-летний Азамат Сагитов, ранее работавший в местных структурах по поддержке малого бизнеса, а затем главой одной из районных администраций Уфы, занял этот пост в июле прошлого года.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Этому назначению предшествовал громкий скандал, сопровождавший историю отставки прежнего главы администрации Радия Хабирова.","{'Source': [['NULL'], ['0:0']], 'Target': [['Радия Хабирова'], ['109:123']], 'Polar_expression': [['громкий скандал'], ['31:46']], 'Polarity': 'NEG'}",NULL,Радия Хабирова,громкий скандал,NEG
"Год назад в защиту опального башкирского чиновника открыто выступила ""Единая Россия"", восстановившая господина Хабирова в партии (позже господин Хабиров был приглашен на работу в Кремль).","{'Source': [['Единая Россия'], ['70:83']], 'Target': [['Хабирова'], ['111:119']], 'Polar_expression': [['защиту'], ['12:18']], 'Polarity': 'POS'}",Единая Россия,Хабирова,защиту,POS
"Год назад в защиту опального башкирского чиновника открыто выступила ""Единая Россия"", восстановившая господина Хабирова в партии (позже господин Хабиров был приглашен на работу в Кремль).","{'Source': [['Единая Россия'], ['70:83']], 'Target': [['Хабирова'], ['111:119']], 'Polar_expression': [['восстановившая'], ['86:100']], 'Polarity': 'POS'}",Единая Россия,Хабирова,восстановившая,POS
"Год назад в защиту опального башкирского чиновника открыто выступила ""Единая Россия"", восстановившая господина Хабирова в партии (позже господин Хабиров был приглашен на работу в Кремль).","{'Source': [['Кремль'], ['179:185']], 'Target': [['Хабиров'], ['145:152']], 'Polar_expression': [['приглашен'], ['157:166']], 'Polarity': 'POS'}",Кремль,Хабиров,приглашен,POS
"Год назад в защиту опального башкирского чиновника открыто выступила ""Единая Россия"", восстановившая господина Хабирова в партии (позже господин Хабиров был приглашен на работу в Кремль).","{'Source': [['Единая Россия'], ['70:83']], 'Target': [['башкирского чиновника'], ['29:50']], 'Polar_expression': [['защиту'], ['12:18']], 'Polarity': 'POS'}",Единая Россия,башкирского чиновника,защиту,POS
"Год назад в защиту опального башкирского чиновника открыто выступила ""Единая Россия"", восстановившая господина Хабирова в партии (позже господин Хабиров был приглашен на работу в Кремль).","{'Source': [['NULL'], ['0:0']], 'Target': [['башкирского чиновника'], ['29:50']], 'Polar_expression': [['опального'], ['19:28']], 'Polarity': 'NEG'}",NULL,башкирского чиновника,опального,NEG
"Столь же жесткой была партийная реакция на интервью господина Рахимова ""Московскому комсомольцу"", в котором он раскритиковал федеральный центр и саму ""Единую Россию"" за невнимание к нуждам регионов.","{'Source': [['Рахимова'], ['62:70']], 'Target': [['Единую Россию'], ['151:164']], 'Polar_expression': [['раскритиковал'], ['111:124']], 'Polarity': 'NEG'}",Рахимова,Единую Россию,раскритиковал,NEG
"Столь же жесткой была партийная реакция на интервью господина Рахимова ""Московскому комсомольцу"", в котором он раскритиковал федеральный центр и саму ""Единую Россию"" за невнимание к нуждам регионов.","{'Source': [['Рахимова'], ['62:70']], 'Target': [['Единую Россию'], ['151:164']], 'Polar_expression': [['невнимание к нуждам регионов'], ['169:197']], 'Polarity': 'NEG'}",Рахимова,Единую Россию,невнимание к нуждам регионов,NEG
"Столь же жесткой была партийная реакция на интервью господина Рахимова ""Московскому комсомольцу"", в котором он раскритиковал федеральный центр и саму ""Единую Россию"" за невнимание к нуждам регионов.","{'Source': [['Рахимова'], ['62:70']], 'Target': [['федеральный центр'], ['125:142']], 'Polar_expression': [['раскритиковал'], ['111:124']], 'Polarity': 'NEG'}",Рахимова,федеральный центр,раскритиковал,NEG
"Столь же жесткой была партийная реакция на интервью господина Рахимова ""Московскому комсомольцу"", в котором он раскритиковал федеральный центр и саму ""Единую Россию"" за невнимание к нуждам регионов.","{'Source': [['Рахимова'], ['62:70']], 'Target': [['федеральный центр'], ['125:142']], 'Polar_expression': [['невнимание к нуждам регионов'], ['169:197']], 'Polarity': 'NEG'}",Рахимова,федеральный центр,невнимание к нуждам регионов,NEG
"Столь же жесткой была партийная реакция на интервью господина Рахимова ""Московскому комсомольцу"", в котором он раскритиковал федеральный центр и саму ""Единую Россию"" за невнимание к нуждам регионов.","{'Source': [['NULL'], ['0:0']], 'Target': [['Рахимова'], ['62:70']], 'Polar_expression': [['жесткой'], ['9:16']], 'Polarity': 'NEG'}",NULL,Рахимова,жесткой,NEG
"Как сообщал ""Ъ"" 6 июня, член бюро высшего совета партии Андрей Исаев не исключил даже лишения Муртазы Рахимова партбилета.","{'Source': [['Андрей Исаев'], ['56:68']], 'Target': [['Муртазы Рахимова'], ['94:110']], 'Polar_expression': [['лишения Муртазы Рахимова партбилета'], ['86:121']], 'Polarity': 'NEG'}",Андрей Исаев,Муртазы Рахимова,лишения Муртазы Рахимова партбилета,NEG
На этот раз партия вмешиваться в башкирские дела не стала.,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Глава исполкома ""Единой России"" Андрей Воробьев заявил ""Ъ"", что у партии нет никакой позиции по поводу отставки главы башкирской администрации.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"""После ухода Радия Хабирова администрация значительно ослабла, ее влияние резко упало по сравнению с аппаратом правительства"",- рассказал собеседник ""Ъ"".","{'Source': [['собеседник ""Ъ""'], ['138:152']], 'Target': [['администрация'], ['28:41']], 'Polar_expression': [['значительно ослабла'], ['42:61']], 'Polarity': 'NEG'}","собеседник ""Ъ""",администрация,значительно ослабла,NEG
"Местные наблюдатели считают, что такие нейтральные фигуры, как господин Сагитов, просто перестали отвечать ""требованиям дня"", после того как осложнились отношения господина Рахимова с федеральным центром.","{'Source': [['Рахимова'], ['173:181']], 'Target': [['федеральным центром'], ['184:203']], 'Polar_expression': [['осложнились отношения'], ['141:162']], 'Polarity': 'NEG'}",Рахимова,федеральным центром,осложнились отношения,NEG
"Местные наблюдатели считают, что такие нейтральные фигуры, как господин Сагитов, просто перестали отвечать ""требованиям дня"", после того как осложнились отношения господина Рахимова с федеральным центром.","{'Source': [['федеральным центром'], ['184:203']], 'Target': [['Рахимова'], ['173:181']], 'Polar_expression': [['осложнились отношения'], ['141:162']], 'Polarity': 'NEG'}",федеральным центром,Рахимова,осложнились отношения,NEG
"Местные наблюдатели считают, что такие нейтральные фигуры, как господин Сагитов, просто перестали отвечать ""требованиям дня"", после того как осложнились отношения господина Рахимова с федеральным центром.","{'Source': [['Местные наблюдатели'], ['0:19']], 'Target': [['Сагитов'], ['72:79']], 'Polar_expression': [['перестали отвечать ""требованиям дня""'], ['88:124']], 'Polarity': 'NEG'}",Местные наблюдатели,Сагитов,"перестали отвечать ""требованиям дня""",NEG
"В уфимской мэрии ""Ъ"" сообщили, что вчера же господин Сагитов получил новое назначение на пост управляющего делами администрации Уфы.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Указа о назначении нового главы своей администрации Муртаза Рахимов, по словам господина Мурзагалиева, пока не подписал.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"По неофициальным данным ""Ъ"", в качестве главного претендента на этот пост рассматривается гендиректор ОАО ""Башкирэнерго"" Николай Курапов, считающийся в республике ""крепким хозяйственником"" и относительно неполитизированной фигурой.","{'Source': [['NULL'], ['0:0']], 'Target': [['Николай Курапов'], ['121:136']], 'Polar_expression': [['крепким хозяйственником'], ['164:187']], 'Polarity': 'POS'}",NULL,Николай Курапов,крепким хозяйственником,POS
"Как считает руководитель координационного совета местной оппозиции Рамиль Бигнов, эта фигура возникла ""неслучайно"", и глава региона может рассматривать господина Курапова как своего очередного потенциального преемника на посту президента республики.","{'Source': [['глава региона'], ['118:131']], 'Target': [['Курапова'], ['162:170']], 'Polar_expression': [['очередного потенциального преемника'], ['182:217']], 'Polarity': 'POS'}",глава региона,Курапова,очередного потенциального преемника,POS
"Уфимский политолог Альберт Мифтахов, напротив, считает, что речь идет не о преемнике, а о ""дембельских вариантах"".","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"По его словам, президент, полномочия которого истекают через год, стремится помочь своим людям занять достойное место в чиновничьей иерархии - так же, как помог ранее экс-главе МВД по Башкирии Рафаилу Диваеву, которого после отставки из федерального министерства в республике назначили вице-премьером.","{'Source': [['президент'], ['15:24']], 'Target': [['Рафаилу Диваеву'], ['193:208']], 'Polar_expression': [['помог'], ['155:160']], 'Polarity': 'POS'}",президент,Рафаилу Диваеву,помог,POS
